케이블관리번호,법정동코드,시도명,시군구명,읍면동명,리명,케이블매설위치코드명,케이블코어수,접속코어수,사용코어수,케이블용도코드명,준공거리M,지도거리M,공간위치G,중계기회선수,중요선로
48330CA020594,4833025323,경남,양산시,물금읍,가촌리,지중,72,2,2,#,1,1.07,"LINESTRING (128.99661270394463 35.312004124116086, 128.996621990574 35.3120100075874)",,
48330CA014854,4833034022,경남,양산시,하북면,지산리,가공,48,2,2,#,60,39.48,"LINESTRING (129.050589291509 35.4788124219555, 129.051015526404 35.4788828783805)",2,
48330CA014837,4833011200,경남,양산시,어곡동,#,가공,24,13,12,#,361,347.86,"LINESTRING (129.002326041131 35.3660809056612, 129.002219331752 35.3664808970697, 129.002173234568 35.3668950166431, 129.001950736643 35.3671959020712, 129.001756805166 35.3675042438098, 129.001702729471 35.3679682984328, 129.001610964984 35.368334870021, 129.001585993881 35.3687263173255, 129.00154941232955 35.36910428577273)",1,
48330CA015758,4833031026,경남,양산시,동면,석산리,FTTH,24,23,3,가공용,31,28.02,"LINESTRING (129.02837508958348 35.31288449238781, 129.02833726924248 35.313135161768)",,
48330CA015723,4833031027,경남,양산시,동면,금산리,FTTH,24,23,2,가공용,31,26,"LINESTRING (129.02771574935906 35.30861815959817, 129.02762319842043 35.30839393128629)",,
48330CA016649,4833031027,경남,양산시,동면,금산리,가공,24,3,3,#,63,60.97,"LINESTRING (129.0293415712851 35.30768981616137, 129.02936736474487 35.30759933082141, 129.02958154226172 35.308020876899455)",1,
48330CA017471,4833034024,경남,양산시,하북면,답곡리,가공,24,3,3,#,177,133,"LINESTRING (129.10705029181756 35.47320070618292, 129.10737195997834 35.47288876535168, 129.107989093963 35.4727703535408, 129.108221970225 35.4725682691785)",4,
48330CA017719,4833011500,경남,양산시,명동,#,가공,144,106,77,#,846,844.02,"LINESTRING (129.16323274428953 35.406579609176866, 129.163529935926 35.40632183424824, 129.16360401603114 35.4061757192854, 129.16352366949508 35.4058829747187, 129.16344295565597 35.4055555815138, 129.16338306636672 35.40525353943205, 129.1633128391233 35.40478330194956, 129.16327476321416 35.40442911973244, 129.16325443852543 35.404042856725304, 129.16325284736772 35.40368070590998, 129.16325962669737 35.403315622418, 129.16325853013484 35.402960789910075, 129.163239591817 35.4026252203579, 129.1632344050065 35.40227227543537, 129.16322383094797 35.40189996484073, 129.16321160039593 35.4015140127942, 129.16321341481662 35.401208725801766, 129.1631096729883 35.40081530014674, 129.16300822127724 35.40049143187179, 129.16296520323036 35.40033199762171, 129.16290498368954 35.40014758474623, 129.1627971266083 35.39983845476456, 129.16269301487688 35.39948546298101, 129.16261996597348 35.399271080685956, 129.1625894681094 35.399168314343356)",148,O
48330CA018099,4833032021,경남,양산시,원동면,원리,가공,48,23,18,#,170,164.36,"LINESTRING (128.921013576657 35.391442965055, 128.92087978257902 35.39107076035144, 128.92074034216674 35.390732048904354, 128.92066332244238 35.390381896691096, 128.920578079512 35.390008170373)",2,
48330CA015363,4833025322,경남,양산시,물금읍,증산리,가공,144,40,11,#,1,1,"LINESTRING (129.01235727880035 35.292675954468955, 129.0123738081953 35.29266856316158)",3,
48330CA018220,4833033026,경남,양산시,상북면,좌삼리,가공,72,13,11,#,726,735,"LINESTRING (129.04934959272703 35.43444250758814, 129.04898965856242 35.43469287488695, 129.048511613229 35.4348725821759, 129.04841750813847 35.435249679848894, 129.04817177655832 35.43545977008064, 129.047856554644 35.4357702631848, 129.047412997595 35.43593425027237, 129.04717910104713 35.43619516481248, 129.0469367737946 35.436404501523036, 129.04670581442087 35.436730335845155, 129.0465034124 35.4369684636213, 129.04632306352968 35.43728266158369, 129.0461403459734 35.437611116891865, 129.04603298533183 35.43791973020467, 129.0459331736574 35.438110056507874, 129.04569024001145 35.43844026837102, 129.0455597645 35.4388560932227, 129.045466452578 35.4391979982679, 129.04534620543458 35.43945035904843, 129.045130093979 35.4397783027332)",7,
48330CA018302,4833031027,경남,양산시,동면,금산리,가공,24,2,2,#,82,77.53,"LINESTRING (129.0251612792394 35.30486929311352, 129.02535285503464 35.30555018159843)",,
48330CA016485,4833025323,경남,양산시,물금읍,가촌리,지중,48,3,3,#,1,1,"LINESTRING (128.9960295456799 35.3193511641631, 128.996041018713 35.3193449870238)",,
48330CA016234,4833025323,경남,양산시,물금읍,가촌리,지중,36,1,1,#,50,44,"LINESTRING (128.9969372145589 35.31856610729545, 128.9969431667511 35.3185770879975, 128.99699739343578 35.318522003030296, 128.9970566560693 35.3184618022687, 128.9971328997671 35.31838435143685, 128.997106777097 35.31831367443342, 128.99704216399323 35.318273339357944)",,
48330CA016212,4833025324,경남,양산시,물금읍,범어리,FTTH,12,1,1,지중용,97,60,"LINESTRING (129.00782431569942 35.316872369971634, 129.00784469484853 35.316883758861415, 129.00823144206592 35.31719068828256, 129.00829542260485 35.31719298928379, 129.0083285958123 35.31717454355342)",,
48330CA016274,4833025323,경남,양산시,물금읍,가촌리,FTTH,12,1,1,지중용,66,53,"LINESTRING (128.99692187342455 35.317752467971154, 128.99701233989848 35.31782093953406, 128.99727005850244 35.317601224536865, 128.99733674725644 35.31754531682302)",,
48330CA016379,4833025321,경남,양산시,물금읍,물금리,FTTH,12,1,1,지중용,33,23,"LINESTRING (128.9896246950774 35.307736703098065, 128.9897669973214 35.30774636062712, 128.9897881064057 35.3077353940736, 128.98987033576307 35.30775861123788)",,
48330CA016283,4833025324,경남,양산시,물금읍,범어리,FTTH,12,0,0,지중용,71,63,"LINESTRING (129.00720195563855 35.31744136911978, 129.0072056767188 35.317449446833464, 129.00764187384456 35.31778140062558, 129.00769185235274 35.31777936859684, 129.0077299662404 35.31777706189854)",,
48330CA016257,4833025324,경남,양산시,물금읍,범어리,FTTH,12,2,2,지중용,55,26,"LINESTRING (129.00945627408032 35.315463784676126, 129.00960153634855 35.31556713320174, 129.00962911844147 35.315557702424144, 129.009694336469 35.315529558504274)",,
48330CA016247,4833025324,경남,양산시,물금읍,범어리,FTTH,12,2,2,지중용,30,31,"LINESTRING (129.01034738423834 35.31600657108307, 129.01030557623727 35.31605048251416, 129.01028337947514 35.316095346365024, 129.01043032224067 35.31620975267919, 129.01044012584842 35.31622461202816)",,
48330CA016289,4833025324,경남,양산시,물금읍,범어리,FTTH,12,1,1,지중용,65,56,"LINESTRING (129.00746807461405 35.31803897216343, 129.00744316596646 35.31803970538234, 129.00745955161182 35.31808908864288, 129.00782947210692 35.31837819721544, 129.007843011359 35.3183930262333)",,
48330CA016419,4833025321,경남,양산시,물금읍,물금리,FTTH,12,0,0,지중용,51,8,"LINESTRING (128.9929527277211 35.308505541290785, 128.99302910452437 35.30854686046265)",,
48330CA016452,4833025321,경남,양산시,물금읍,물금리,FTTH,12,0,0,지중용,22,15,"LINESTRING (128.98775052526767 35.3069817293497, 128.98779454507138 35.307020632541374, 128.98786489600383 35.30695834557646)",,
48330CA016448,4833025321,경남,양산시,물금읍,물금리,FTTH,12,0,0,지중용,58,32,"LINESTRING (128.98779266810436 35.307218443390944, 128.9878733900909 35.30715940979061, 128.98771446133188 35.30700189552773)",,
48330CA016445,4833025321,경남,양산시,물금읍,물금리,FTTH,12,0,0,지중용,35,18,"LINESTRING (128.9889461480224 35.30721776812367, 128.9890166943907 35.30716618454959, 128.98894158276923 35.30710412719295)",,
48330CA016456,4833025321,경남,양산시,물금읍,물금리,FTTH,12,0,0,지중용,44,32,"LINESTRING (128.9887290282973 35.30699842355485, 128.98870458616042 35.30701506594075, 128.98883395997012 35.30713518846094, 128.98890655781176 35.30708301619146, 128.9889325852074 35.30709192295515)",,
48330CA017964,4833025324,경남,양산시,물금읍,범어리,지중,48,18,14,#,670,671,"LINESTRING (129.0052301308907 35.32910459655656, 129.00620435794283 35.329599042278716, 129.00644011736821 35.32994617511733, 129.00697200423025 35.32966942005708, 129.0072044676867 35.32993143438499, 129.00872548087446 35.328618958201986, 129.01047937221693 35.32717747159625, 129.0105099129666 35.327174413361654)",20,
48330CA017178,4833011100,경남,양산시,유산동,#,가공,48,48,11,#,1300,1239,"LINESTRING (129.04434571707463 35.37515318120222, 129.0444147496538 35.37548158946966, 129.04447279858778 35.37578510717528, 129.04452771434384 35.37607969540033, 129.04455485905828 35.37625853719426, 129.044615476504 35.376647764283, 129.044659346586 35.3769691780264, 129.044877689934 35.3771421937679, 129.04486570046922 35.3774905402175, 129.044902346192 35.3778709685062, 129.04494812105 35.3782559983808, 129.044983287579 35.3785622561905, 129.045005698754 35.3788874465903, 129.04505027725557 35.379166273834215, 129.045070500657 35.3794465154706, 129.0450081088105 35.37964295936329, 129.04505083972157 35.37989936272206, 129.04509223785 35.38019410018478, 129.04513283042542 35.38046461799946, 129.04518262347378 35.38074854177508, 129.045348382719 35.3810138185826, 129.045133942502 35.3811189034178, 129.044967696029 35.3812054927505, 129.045098842277 35.381247297754, 129.04526481641 35.381630831232, 129.04544456790344 35.38208460040482, 129.04552039751704 35.38227421755977, 129.04552195540896 35.38227470026242, 129.04552197599403 35.38227656797267, 129.0455717529491 35.38233780751071, 129.045708302707 35.3826413883676, 129.045764314219 35.382822083088, 129.045846433295 35.3830442288809, 129.045880667018 35.3832133649616, 129.045981728692 35.3834276403857, 129.046057876464 35.3837879378514, 129.046132812799 35.3841336025506, 129.04622242724517 35.384471150537856, 129.04626996376987 35.38483025744703, 129.0463026598983 35.38521392506048, 129.04631510970776 35.38555974608493, 129.04632162905347 35.385748078248135)",,
48330CA017507,4833034028,경남,양산시,하북면,용연리,가공,48,18,17,#,723,731,"LINESTRING (129.08706539346795 35.44669067787884, 129.0878064809981 35.44603279180584, 129.08792188296977 35.445965910328624, 129.08855381666453 35.44573283825331, 129.08895849058106 35.44558178246589, 129.08990243400385 35.44533565043116, 129.0910050024597 35.44492767463467, 129.09159089400094 35.44471766234319, 129.091897054957 35.44465220597014, 129.09219360515024 35.44462321985293, 129.09379379396418 35.44453265281738, 129.09387706021005 35.44461297570185, 129.09438033444567 35.44461351331688)",3,
48330CA018012,4833011500,경남,양산시,명동,#,가공,72,29,13,#,1,1,"LINESTRING (129.16323274428953 35.406579609176866, 129.16323306594805 35.40659498212571)",12,
48330CA015689,4833010500,경남,양산시,명곡동,#,지중,48,16,6,#,70,66,"LINESTRING (129.06474962461567 35.34072452217028, 129.0654372025711 35.340941154142236)",2,
48330CA018031,4833025324,경남,양산시,물금읍,범어리,가공,1,1,1,#,9,9,"LINESTRING (129.01089568838304 35.316174403309944, 129.0109399083707 35.31618624754793, 129.01092831190945 35.31622809111683)",1,
48330CA017312,4833025323,경남,양산시,물금읍,가촌리,가공,24,1,1,#,85,22,"LINESTRING (129.00269518294436 35.31628224712281, 129.0029397703118 35.31623638102347)",1,
48330CA023417,4833010700,경남,양산시,북정동,#,지중,72,34,34,#,82,79.56,"LINESTRING (129.0409798321217 35.361536033506695, 129.040979460861 35.3615349666093, 129.04106926833316 35.36148585628526, 129.04084051853235 35.360886967831476)",25,
48330CA021055,4833010300,경남,양산시,중부동,#,가공,144,61,54,#,136,124,"LINESTRING (129.028199862996 35.338691294552525, 129.02819384613264 35.33866919292115, 129.028162968754 35.3384830679411, 129.028185862875 35.3384190503684, 129.02813660632 35.3380671898764, 129.0280746673121 35.33759895594334, 129.0280654318002 35.337589792785195)",25,
48330CA015043,4833032024,경남,양산시,원동면,영포리,가공,48,2,2,#,84,57,"LINESTRING (128.93357235321315 35.42891235692601, 128.93359135629413 35.42890005061695, 128.933668800811 35.4286101939936, 128.93387814109613 35.428510900457646)",1,
48330CA013788,4833025322,경남,양산시,물금읍,증산리,지중,72,71,3,#,49,36.23,"LINESTRING (129.008754275742 35.3057567166817, 129.008750533747 35.3054303490958)",,
48330CA021044,4833012000,경남,양산시,덕계동,#,가공,24,2,2,#,230,61.5,"LINESTRING (129.16177772372995 35.37332434937549, 129.16131696870357 35.37343380279687, 129.16121098576602 35.373297771967614)",2,
48330CA017477,4833034022,경남,양산시,하북면,지산리,가공,24,7,5,#,78,66.42,"LINESTRING (129.0784579768595 35.4989153978007, 129.0784808189052 35.49892642917635, 129.07877153070416 35.49905518174232, 129.07896008145 35.49900735421629, 129.07911724151518 35.49893993403687)",4,
48330CA017476,4833034022,경남,양산시,하북면,지산리,가공,24,7,5,#,238,241,"LINESTRING (129.08001925599072 35.500393997697095, 129.0800670009455 35.50021954085306, 129.0801504929902 35.500111175971604, 129.080146596456 35.5000299502102, 129.07999292291524 35.49994666326733, 129.07960016511547 35.49968281914593, 129.07931383863027 35.49950548209258, 129.07902443529352 35.499302898753804, 129.0787694971791 35.499056898777226, 129.0784579768595 35.4989153978007)",4,
48330CA021360,4833025323,경남,양산시,물금읍,가촌리,지중,24,2,0,#,119,19.88,"LINESTRING (129.010265372343 35.3128263172717, 129.01047353491373 35.312771659044955)",3,
48330CA014235,4833034022,경남,양산시,하북면,지산리,FTTH,1,1,1,지중용,31.1,31.1,"LINESTRING (129.063510371415 35.4874599812594, 129.063576612711 35.4877348831968)",,
48330CA014599,4833011500,경남,양산시,명동,#,FTTH,24,19,10,가공용,24,28.45,"LINESTRING (129.1702156789836 35.40582905870007, 129.1701277478428 35.40558295358942)",,
48330CA014611,4833011500,경남,양산시,명동,#,FTTH,24,1,1,가공용,33,28.6,"LINESTRING (129.169356217564 35.4047612250908, 129.169350744039 35.404817566164, 129.169236118662 35.4049956381904)",,
48330CA017853,4833011000,경남,양산시,교동,#,가공,24,12,6,#,146,141,"LINESTRING (129.01879921647773 35.34719596442363, 129.01947700514742 35.34695753961809, 129.01986745519588 35.34687374088646, 129.020042719778 35.3468033260144, 129.02021965684412 35.34669406498387)",6,
48330CA020804,4833011800,경남,양산시,주진동,#,가공,24,3,2,#,110,109,"LINESTRING (129.15442045991458 35.39549048502676, 129.1544141212568 35.39551847487593, 129.1544709764896 35.395901422667116, 129.1545505633186 35.396277015545145, 129.15439605920506 35.3964111261914)",3,
